name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds,personnel
USA HEALTH PROVIDENCE HOSPITAL,010090,6801 Airport Boulevard,MOBILE,Mobile County,ALABAMA,36608-3785,251/633-1000,"Richard Metzger, Chief Executive Officer","C Susan Cornejo, Chief Operating Officer",,"William M Lightfoot, M.D.",,"Christopher Cockrell, Executive Director Human Resources","Peter Lindquist, Vice President and Chief Nursing Officer",https://healthcare.ascension.org/locations/alabama/almob/,"Church operated, Nongovernment, not-for-profit",General medical and surgical,305,
USA HEALTH UNIVERSITY HOSPITAL,010087,2451 University Hospital Drive,MOBILE,Mobile County,ALABAMA,36617-2293,251/471-7000,"Josh Snow, Chief Executive Officer",,"Traci Jones, Chief Financial Officer",,"Mark Lauteren, Chief Information Officer","Anita Shirah, Director Human Resources","Lisa Mestas, Associate Administrator and System Chief Nursing Officer",https://www.usahealthsystem.com/locations/university-hospital,,General medical and surgical,256,2256
MONROE COUNTY HOSPITAL,010120,2016 South Alabama Avenue,MONROEVILLE,Monroe County,ALABAMA,36460-3044,251/575-3111,"Nathan Tudor, Chief Executive Officer",,"Wes Nall, Chief Financial Officer","David Stallworth, M.D.","Jody Falkenberry, Director Information Systems","Tara Nowling, Director Human Resources","Barbara Harned, R.N.",www.mchcare.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,44,
BEACON BEHAVIORAL HOSPITAL,014015,150 Hospital Drive,LUVERNE,Crenshaw County,ALABAMA,36049,334/335-5040,"Shannon Hudson, Chief Executive Officer",,,,,,,www.beaconchildrenshospital.com,"Corporation, Investor-owned (for-profit)",Children's hospital psychiatric,28,82
CRENSHAW COMMUNITY HOSPITAL,011308,101 Hospital Circle,LUVERNE,Crenshaw County,ALABAMA,36049-7344,334/335-3374,"David L. Hughes, Administrator","Victoria Lawrenson, Chief Operating Officer",,"Charles Tompkins, M.D.",,"Patricia Jarry, Manager Human Resources",,www.crenshawcommunityhospital.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,65,
BRADFORD HEALTH SERVICES AT HUNTSVILLE,,1600 Browns Ferry  Road,MADISON,Madison County,ALABAMA,35758-9601,256/461-7272,"Bob Hinds, Executive Director",,,,,,,www.bradfordhealth.com,"Corporation, Investor-owned (for-profit)",Alcoholism and other chemical dependency,84,
BAYPOINTE BEHAVIORAL HEALTH,014014,5800 Southland Drive,MOBILE,Mobile County,ALABAMA,36693-3313,251/661-0153,"Jarett Crum, Hospital Director",,,,"Steve Dolan, Chief Informational Officer",,,www.altapointe.org,Other not-for-profit (including NFP Corporation),Children's hospital psychiatric,60,144
INFIRMARY LONG TERM ACUTE CARE HOSPITAL,012006,5  Mobile Infirmary Circle,MOBILE,Mobile County,ALABAMA,36607-3513,251/660-5239,"Susanne Marmande, Administrator",,,,,,,www.theinfirmary.com/,Other not-for-profit (including NFP Corporation),Acute long-term care hospital,38,
MOBILE INFIRMARY MEDICAL CENTER,010113,5 Mobile Infirmary  u	 n Drive North,MOBILE,Mobile County,ALABAMA,36607-3513,251/435-2400,"Susan E. Boudreau, President",,"Joe Denton, Executive Vice President and Chief Financial Officer",John Dixon,"Eddy Stephens, Vice President Information Technology","Sheila Young, Vice President Human Resources",,www.infirmaryhealth.org,Other not-for-profit (including NFP Corporation),General medical and surgical,545,2397
JACKSON HOSPITAL AND CLINIC,010024,1725 Pine Street,MONTGOMERY,Montgomery County,ALABAMA,36106-1117,334/293-8000,"Ronald Dreskin, Interim Chief Executive Officer","Michael James, Chief Operations Officer","Paul Peiffer, Chief Financial Officer and Vice President",,,"Gilbert Darrington, Director Human Resources",,www.jackson.org,Other not-for-profit (including NFP Corporation),General medical and surgical,262,
NOLAND HOSPITAL MONTGOMERY,012007,"1725 Pine Street, 5 North",MONTGOMERY,Montgomery County,ALABAMA,36106-1109,334/240-0532,"William Elsesser, Administrator",,,,,,,www.nolandhealth.com,Other not-for-profit (including NFP Corporation),Acute long-term care hospital,65,
NORTH ALABAMA SHOALS HOSPITAL,010157,201 Avalon Avenue,MUSCLE SHOALS,Colbert County,ALABAMA,35661-2805,256/386-1600,"Mike Howard, Market President and Chief Executive Officer",,,,,,,,"Corporation, Investor-owned (for-profit)",General medical and surgical,89,194
UAB ST. VINCENT'S BLOUNT,011305,150 Gilbreath,ONEONTA,Blount County,ALABAMA,35121-2827,205/274-3000,"Greg Brown, President",,"Jennifer Kingry, Chief Financial Officer","David R Wilson, M.D.","John Laliberte, Chief Information Officer","Kristin L. Costanzo, Direct-In-Market Lead Human Relations Partner","Kira Schnittker, Director of Nursing",https://healthcare.ascension.org/locations/alabama/albir/,Other not-for-profit (including NFP Corporation),General medical and surgical,25,139
BAPTIST MEDICAL CENTER EAST,010149,400 Taylor Road,MONTGOMERY,Montgomery County,ALABAMA,36117-3512,334/747-8330,"Jeff G. Rains, Chief Executive Officer",,"Christine Bruton, Chief Financial Officer",,,"Kay R Bennett, Vice President Human Resources",,www.baptistfirst.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,217,923
BAPTIST MEDICAL CENTER SOUTH,010023,2105 East South  Boulevard,MONTGOMERY,Montgomery County,ALABAMA,36116-2409,334/288-2100,"J Peter. Selman, FACHE",,"Melissa Johnson, Chief Financial Officer","Donovan Kendrick, M.D.","Steve Miller, Director Information Systems","Kay R Bennett, System Director Human Resources","Karen McCaa, R.N.",www.baptistfirst.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,400,1739
CENTRAL ALABAMA VA HEALTH CARE SYSTEM–MONTGOMERY DIVISION CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM,,4465 Narrow Lane Road,MONTGOMERY,Montgomery County,ALABAMA,36109-3798,334/272-4670,"Valerie Russell, Interim Medical Center Director",,"Debra Nicholson, Manager Finance","Randall Weaver, M.D.","Rhoda Tyson, Chief Information Officer","Janice Hardy, Chief Human Resource Management Service","Gretchen Vercher, Chief Nursing Officer",www.centralalabama.va.gov/,"Veterans Affairs, Government, federal",General medical and surgical,258,213
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MONTGOMERY,013028,4465 Narrow Lane Road,MONTGOMERY,Montgomery County,ALABAMA,36116-2900,334/284-7700,"Erin Collier, Chief Executive Officer",,"Heath Watson, Controller","Jeffrey Eng, M.D.","Anidra Billingslea, Health Insurance Management","Kim McDaniel, Director Human Resources","Gretchen Vercher, Chief Nursing Officer",www.encompasshealth.com/montgomeryrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,75,213
JACK HUGHSTON MEMORIAL HOSPITAL,010168,4401 Riverchase Drive,PHENIX CITY,Russell County,ALABAMA,36867-7483,334/732-3000,"Mark A. Baker, Chief Executive Officer","Rachel H. Crenshaw, Chief Operating Officer","Angela Shelton, Chief Financial Officer","James F. Zumstein, M.D.",,"Lana Thomas-Folds, System Director Human Resources","Sylvia Thomas, Chief Nursing Officer",www.hughston.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,24,344
REHABILITATION HOSPITAL OF PHENIX CITY,013033,3715 Highway  280/431 North,PHENIX CITY,Russell County,ALABAMA,36867,334/732-2200,"Lora Davis, FACHE",,"Bobby Edmondson, Controller","Nitin Desei, M.D.","Jacki Cuevas, Director Health Information Services","Cindy Glynn, Director Human Resources","Wendy Lee, Chief Nursing Officer",www.regionalrehabhospital.com,"Corporation, Investor-owned (for-profit)",Rehabilitation,58,176
PRATTVILLE BAPTIST HOSPITAL,010108,124 South Memorial Drive,PRATTVILLE,Autauga County,ALABAMA,36067-3619,334/365-0651,"Eric Morgan, Chief Executive Officer",,"LaDonna McDaniel, Financial Manager",,"B Blaine Brown, Vice President and General Counsel","Kymberli Skipper, Manager Human Resources",,www.baptistfirst.org/facilities/prattville-baptist-hospital/default.aspx,"Hospital district or authority, Government, Nonfederal",General medical and surgical,71,306
RED BAY HOSPITAL,011302,211 Hospital Road,RED BAY,Franklin County,ALABAMA,35582-3858,256/356-9532,"Sherry Jolley, Administrator",,"Penny Westmoreland, Chief Financial Officer","Kristy Crandell, M.D.",,"Amy Leigh Bishop, Director Human Resources","Margaret Thorn, Interim Director of Nursing",www.redbayhospital.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,22,101
RUSSELLVILLE HOSPITAL,010158,15155 Highway 43,RUSSELLVILLE,Franklin County,ALABAMA,35653-1975,256/332-1611,"Chris Ware, Chief Executive Officer",,,,,"Stephen Proctor, Director of Human Resources/Risk","Belinda Johnson, R.N.",www.russellvillehospital.com,"Partnership, Investor-owned (for-profit)",General medical and surgical,92,
EAST ALABAMA MEDICAL CENTER,010029,2000 Pepperell Parkway,OPELIKA,Lee County,ALABAMA,36801-5452,334/749-3411,"Laura D. Grill, R.N.","Sarah Nunnelly, Executive Vice President and Chief Operating Officer","Sam Price, Executive Vice President Finance/Chief Financial Officer","William Golden, M.D.","Sarah Gray, Vice President Information Services","Susan Johnston, Vice President Human Resources","Jane Fullum, Vice President Patient Care Services",www.eamc.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,544,
MIZELL MEMORIAL HOSPITAL,010007,702 Main Street,OPP,Covington County,ALABAMA,36467-1626,334/493-3541,"Lori Stanfield, Interim Chief Executive Officer",,"Amy Bess, Chief Financial Officer",,"Elizabeth Cook, Chief Information Officer","Dianne Morrison, Director Human Resources","Steven Skeen, R.N.",www.mizellmh.com,Other not-for-profit (including NFP Corporation),General medical and surgical,59,
DALE MEDICAL CENTER,010021,126 Hospital Avenue,OZARK,Dale County,ALABAMA,36360-2080,334/774-2601,"Vernon Johnson, Chief Executive Officer",,"Brad Hull, Chief Financial Officer","Steve Brandt, M.D.",,"Sheila Dunn, Assistant Administrator Human Resources",,www.dalemedical.org,"County, Government, Nonfederal",General medical and surgical,69,
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY COUNTY,013031,900 Oak Mountain Commons Lane,PELHAM,Shelby County,ALABAMA,35124,205/216-7600,"Michael Bartell, Chief Executive Officer",,,,,,,www.encompasshealth.com/shelbycountyrehab,"Corporation, Investor-owned (for-profit)",Rehabilitation,34,
UAB ST. VINCENT'S ST. CLAIR,010130,7063 Veterans Parkway,PELL CITY,St. Clair County,ALABAMA,35125-1499,205/814-2105,"Lisa Nichols, President",,"Isaac Plunkett, Chief Financial Officer",,,,,https://healthcare.ascension.org/locations/alabama/albir/,Other not-for-profit (including NFP Corporation),General medical and surgical,40,170
COMMUNITY HOSPITAL,010034,805 Friendship Road,TALLASSEE,Elmore County,ALABAMA,36078-1234,334/283-6541,"Jennie R. Rhinehart, Administrator and Chief Executive Officer",,,,,,,www.chal.org,Other not-for-profit (including NFP Corporation),General medical and surgical,47,
TROY REGIONAL MEDICAL CENTER,010126,1330 Highway 231 South,TROY,Pike County,ALABAMA,36081-3058,334/670-5000,"Rick Smith, Chief Executive Officer",,,,,,,,"City, Government, Nonfederal",General medical and surgical,43,
BRYCE HOSPITAL,014007,200 University Boulevard,TUSCALOOSA,Tuscaloosa County,ALABAMA,35401-1294,205/507-8299,"Audrey McShan, Facility Director",,"Wendell Summerville, Chief Financial Officer","Cynthia Moore Sledge, M.D.","Ronene Howell, Director Health Information Management","Jim Elliott, Director Human Resources",,www.mh.alabama.gov/,,Psychiatric,820,
DCH REGIONAL MEDICAL CENTER,010092,809 University Boulevard East,TUSCALOOSA,Tuscaloosa County,ALABAMA,35401-2029,205/759-7111,"Katrina Rose. Keefer, Chief Executive Officer",,,"Kenneth Aldridge, M.D.","Kim Ligon, Director Information Services","Peggy Sease, Vice President Human Resources","Lorraine Yehlen, R.N.",https://www.dchsystem.com/locations/dch-regional-medical-center/,"Hospital district or authority, Government, Nonfederal",General medical and surgical,577,
MARY'S HARPER GERIATRIC PSYCHIATRY CENTER,014012,200 University  Boulevard,TUSCALOOSA,Tuscaloosa County,ALABAMA,35401-1250,205/366-3010,"Christine Rembert, MSN",,"Sarah Mitchell, Director Finance","Robin Barton Lariscy, M.D.","Sarah Mitchell, Director Finance","Jim Elliott, Director Human Resources",,www.mh.alabama.gov,"Corporation, Investor-owned (for-profit)",Psychiatric,96,
NOLAND HOSPITAL TUSCALOOSA,012012,"809 University Blvd E, 4th Fl",TUSCALOOSA,Tuscaloosa County,ALABAMA,35401-2029,205/759-7241,"Jack Gibson, Administrator",,,,,,,www.nolandhealth.com,Other not-for-profit (including NFP Corporation),Acute long-term care hospital,32,
TAYLOR HARDIN SECURE MEDICAL FACILITY,014011,1301 Jack Warner  Parkway,TUSCALOOSA,Tuscaloosa County,ALABAMA,35404-1060,205/556-7060,"Kimberly McAlpine, Facility Director",,,,,,,www.mh.alabama.gov/,"Corporation, Investor-owned (for-profit)",Psychiatric,114,
HIGHLANDS MEDICAL CENTER,010061,380 Woods Cove Road,SCOTTSBORO,Jackson County,ALABAMA,35768-2428,256/259-4444,"Ashley Pool, President",,"Dan Newell, Chief Financial Officer",,"Doug Newby, Chief Information Officer","Susanna S Sivley, Chief Personnel Officer",,www.highlandsmedcenter.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,92,
VAUGHAN REGIONAL MEDICAL CENTER,010118,1015 Medical Center  Parkway,SELMA,Dallas County,ALABAMA,36701-6352,334/418-4100,"J. David. McCormack, Chief Executive Officer",,"Tyler Adkins, Chief Financial Officer","Walid Freij, M.D.","Matthew McHugh, Director Information Services","Dionne Williams, Director Human Resources","Patricia Hannon, Chief Nursing Officer",www.vaughanregional.com,"Corporation, Investor-owned (for-profit)",General medical and surgical,149,
HELEN KELLER HOSPITAL,010019,1300 South Montgomery Avenue,SHEFFIELD,Colbert County,ALABAMA,35660-6334,256/386-4196,"Kyle Buchanan, President",,"Morris S Strickland, Chief Financial Officer",,,"Pam Bryant, Director Human Resources",,www.helenkeller.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,147,972
COOSA VALLEY MEDICAL CENTER,010164,315 West Hickory Street,SYLACAUGA,Talladega County,ALABAMA,35150-2996,256/401-4000,"Glenn C. Sisk, President",,"Janice Brown, Chief Financial Officer",,"Sandra Murchison, Director Medical Records","Christy Knowles, Chief Human Resources Officer",,www.cvhealth.net,Other not-for-profit (including NFP Corporation),General medical and surgical,101,
BAPTIST HEALTH CITIZENS HOSPITAL,010101,604 Stone Avenue,TALLADEGA,Talladega County,ALABAMA,35160-2217,256/362-8111,"Frank D. Thomas, Chief Executive Officer",,,,,"Sandra Willis, Director of Human Resources","Kim Hayes, Chief Nursing Officer",www.brookwoodbaptisthealth.org,"Church operated, Nongovernment, not-for-profit",General medical and surgical,72,
ELMORE COMMUNITY HOSPITAL,010097,500 Hospital Drive,WETUMPKA,Elmore County,ALABAMA,36092-1625,334/567-4311,"Michael Bruce, Chief Executive Officer",,"Michael Bruce, Chief Financial Officer",,,"Cindy Futral, Director Human Resources",,www.ivycreekhealth.com/hospital/elmore-community-hospital/,"Partnership, Investor-owned (for-profit)",General medical and surgical,49,
NORTH MISSISSIPPI HEALTH SERVICES – SOUTH MARION,010086,1530  U S Highway 43,WINFIELD,Marion County,ALABAMA,35594-5056,205/487-7000,"Cathy Mitchell, Chief Eecutive Officer",,"Glenda Reyes, Chief Financial Officer","David Corbett, M.D.",,,,https://northwestmedcenter.net/,"Corporation, Investor-owned (for-profit)",General medical and surgical,56,
HILL HOSPITAL OF SUMTER COUNTY,010138,751 Derby Drive,YORK,Sumter County,ALABAMA,36925-2121,205/392-5263,"Loretta Wilson, Chief Executive Officer/Administrator",,"Joyce Wedgeworth, Financial Clerk","Gary Walton, M.D.",,,"Cynthia Brown, Director of Nursing",,Other not-for-profit (including NFP Corporation),General medical and surgical,33,
TUSCALOOSA VA MEDICAL CENTER,,,TUSCALOOSA,Tuscaloosa County,ALABAMA,35404-5015,205/554-2000,"John F. Merkle, Medical Center Director","Gary D. Trende, FACHE","Angelia Stevenson, Manager Finance","Carlos E. Berry, M.D.",,,,www.tuscaloosa.va.gov,"Veterans Affairs, Government, federal",General medical and surgical,319,1100
CENTRAL ALABAMA VETERANS AFFAIRS HEALTH CARE SYSTEM– BULLOCK COUNTY HOSPITAL,010779,102 West Conecuh Avenue,UNION SPRINGS,Bullock County,ALABAMA,36089-1303,334/738-2140,"Amanda Trawick, Chief Executive Officer","Victoria Lawrenson, Chief Operating Officer",,"Maria Bernardo, M.D.",,,"Robbin Pumphrey, Chief Nursing Officer",www.bullockcountyhospital.com/,"Corporation, Investor-owned (for-profit)",Rural Emergency Hospital,54,
EAST ALABAMA MEDICAL CENTER–LANIER,010780,4800 48th Street,VALLEY,Chambers County,ALABAMA,36854-3666,334/756-9180,"Greg Nichols, Chief Executive Officer",,"Tommy Lane, Assistant Vice President",,,,,https://www.eastalabamahealth.org/location/eamc-lanier,,,188,
